t,x,th1,th2,xd,th1d,th2d,u,KE,PE,E_total
0.0,0.0,2.5,-1.2,0.0,0.0,0.0,0.0,0.0,-11.624818083472679,-11.624818083472679
0.005,3.7489505617213225e-05,2.5000882971072222,-1.1999078800410024,0.014996208492093157,0.03531835179872401,0.036853521726845306,0.0,0.0008841338251439623,-11.625702217299413,-11.624818083474269
0.01,0.0001499702072634427,2.5003531736917943,-1.1996313540168908,0.029997289787978686,0.07063080697921884,0.07377350194041532,0.0,0.0035359755227339917,-11.6283540590018,-11.624818083479067
0.015,0.0003374786255253407,2.5007945854886438,-1.1991699234909226,0.045008103121212124,0.10593144735567764,0.11082639809802544,0.0,0.007953845274082383,-11.632771928761159,-11.624818083487076
0.02,0.0006000755149175058,2.501412458542858,-1.198522757744117,0.060033480560231084,0.14121431157350414,0.14807866540602488,0.0,0.014134941765043152,-11.638953025263357,-11.624818083498313
0.025,0.0009378456939725719,2.5022066889397077,-1.1976886937903317,0.07507821336444367,0.17647337344156364,0.18559675521095598,0.0,0.02207533976474174,-11.64689342327754,-11.624818083512798
0.03,0.001350897806939129,2.503177142426094,-1.1966662364007614,0.09014703826733375,0.21170252016642596,0.2234471128040256,0.0,0.03176998674222098,-11.656588070272768,-11.624818083530547
0.035,0.0018393640166640946,2.5043236539228655,-1.1954535581413135,0.10524462366333293,0.24689553045932422,0.2616961744321549,0.0,0.04321269852750653,-11.668030782079095,-11.624818083551588
0.04,0.002403399628122159,2.505646026927293,-1.1940484994273584,0.12037555567615442,0.28204605248952214,0.3004103632991568,0.0,0.05639615402552245,-11.681214237601468,-11.624818083575946
0.045,0.0030431826419463127,2.5071440328048795,-1.1924485686014734,0.13554432408749317,0.31714758166157264,0.33965608432825795,0.0,0.07131188899325736,-11.6961299725969,-11.624818083603643
0.05,0.003758913237211593,2.50881740996958,-1.190650942040974,0.15075530810648674,0.3521934381986104,0.37949971744211675,0.0,0.08795028889266554,-11.712768372527373,-11.624818083634707
0.055,0.0045508131826305104,2.510665862951424,-1.1886524643032939,0.16601276196212617,0.38717674451941575,0.4200076090985292,0.0,0.10630058083388505,-11.731118664503036,-11.624818083669151
0.06,0.005419125175234729,2.5126890613504953,-1.1864496483186302,0.18132080030292738,0.42209040240359125,0.4612460617989819,0.0,0.12635082462561087,-11.751168908332616,-11.624818083707005
0.065,0.0063641121055451584,2.5148866386762094,-1.18403867564075,0.19668338339065444,0.45692706994688537,0.5032813212628853,0.0,0.14808790295177587,-11.772905986700037,-11.624818083748261
0.07,0.007386056248173599,2.517258191070866,-1.181415396768451,0.2121043020777529,0.4916791383175854,0.5461795609324456,0.0,0.17149751069606722,-11.796315594489002,-11.624818083792935
0.075,0.00848525837675539,2.5198032759165243,-1.178575331551931,0.22758716256144532,0.5263387083350822,0.590006863441423,0.0,0.19656414343843664,-11.821382227279441,-11.624818083841005
0.08,0.00966203680208647,2.5225214103243956,-1.1755136697002304,0.24313537091119378,0.5608975669033095,0.6348291986451272,0.0,0.2232710851502766,-11.848089169042721,-11.624818083892444
0.085,0.01091672633233223,2.5254120695061304,-1.1722252714080406,0.25875211737049236,0.5953471633449089,0.680712397768551,0.0,0.25160039511783694,-11.876418479065045,-11.624818083947208
0.09,0.012249677154192042,2.528474685026652,-1.16870466812248,0.2744403604387526,0.6296785856968107,0.7277221231840814,0.0,0.28153289412621874,-11.906350978131439,-11.62481808400522
0.095,0.013661253633945518,2.5317086429385287,-1.164946063473022,0.29020281074443716,0.6638825370446062,0.7759238332792748,0.0,0.3130481499393234,-11.937866234005707,-11.624818084066384
0.1,0.01515183303737697,2.535113281798312,-1.1609433343905886,0.3060419147266219,0.697949311991784,0.8253827418181602,0.0,0.3461244621142576,-11.970942546244835,-11.624818084130577
0.105,0.016721804167677032,2.538687890565796,-1.156690032444965,0.3219598381488726,0.7318687733807845,0.8761637711358203,0.0,0.38073884619181086,-12.005556930389444,-11.624818084197633
0.11,0.01837156592055803,2.5424317063877977,-1.1521793854331652,0.33795844947675246,0.7656303294060793,0.9283314984348738,0.0,0.4168670173079878,-12.041685101575332,-11.624818084267345
0.115,0.020101525755996476,2.546343912268825,-1.1474042992552327,0.35403930315847504,0.7992229112852952,0.9819500943731351,0.0,0.454483373274865,-12.079301457614331,-11.624818084339466
0.12,0.021912098086235777,2.550423634631894,-1.1423573601182277,0.3702036228572194,0.8326349516829713,1.0370832530432805,0.0,0.49356097718248293,-12.118379061596187,-11.624818084413704
0.125,0.02380370257994908,2.554669940773808,-1.1370308371138926,0.3864522846934677,0.8658543641130675,1.0937941123467774,0.0,0.5340715395769102,-12.158889624066607,-11.624818084489696
0.13,0.025776762382780413,2.559081836220435,-1.1314166852207457,0.40278580056643193,0.898868523581018,1.1521451636545381,0.0,0.5759854002730123,-12.20080348484005,-11.624818084567037
0.135,0.027831702254856146,2.563658261988908,-1.1255065487871887,0.4192043016352251,0.9316642487641515,1.2121981495245073,0.0,0.6192715098639301,-12.244089594509168,-11.624818084645238
0.14,0.029968946626293,2.568398091765271,-1.1192917655586994,0.43570752205290036,0.9642277860708509,1.274013948110312,0.0,0.6638974109925329,-12.288715495716293,-11.62481808472376
0.145,0.032188917572227305,2.573300129007913,-1.1127633713193805,0.4522947830598215,0.9965447959640644,1.3376524427437317,0.0,0.7098292194534412,-12.33464730425541,-11.62481808480197
0.15,0.034492032709457686,2.578363103989174,-1.105912105226137,0.46896497755699784,1.028600341983849,1.4031723750054497,0.0,0.7570316051972732,-12.381849690076432,-11.62481808487916
0.155,0.0368787030174336,2.5835856707898186,-1.098728415922635,0.4857165552949621,1.0603788829566136,1.4706311794116211,0.0,0.8054677733117064,-12.430285858266254,-11.624818084954548
0.16,0.039349330587038815,2.58896640426364,-1.091202468530079,0.502547508829397,1.091864268935695,1.5400847976363843,0.0,0.8550994450567657,-12.479917530084023,-11.624818085027258
0.165,0.041904306301415145,2.5945037969923477,-1.0833241526227948,0.5194553604108996,1.1230397414788174,1.6115874699606703,0.0,0.9058868390341761,-12.530704924130498,-11.624818085096322
0.17,0.04454400745395017,2.600196256254066,-1.075083091308788,0.5364371499928462,1.153887938932765,1.6851915013835774,0.0,0.9577886525729422,-12.582606737733643,-11.624818085160701
0.17500000000000002,0.04726879530951421,2.606042101032297,-1.0664686515489534,0.5534894245580629,1.1843909074640169,1.7609469995523028,0.0,1.0107620434153457,-12.635580128634606,-11.62481808521926
0.18,0.05007901261607699,2.612039559096077,-1.0574699558635847,0.5706082289816432,1.2145301186458262,1.8389015813583873,0.0,1.0647626117893072,-12.689580697060094,-11.624818085270787
0.185,0.0529749810749621,2.6181867641862855,-1.0480758955914364,0.5877890986634491,1.244286494486746,1.9191000447103645,0.0,1.1197443829547176,-12.744562468268715,-11.624818085313997
0.19,0.05595699877920366,2.6244817533476876,-1.0382751458849373,0.6050270541791609,1.2736404408622057,2.0015840016247854,0.0,1.175659790312766,-12.80047787566031,-11.624818085347544
0.195,0.05902533763074942,2.6309224644512943,-1.0280561826454335,0.6223165982127146,1.302571890388433,2.0863914683786957,0.0,1.2324596591688852,-12.857277744538921,-11.624818085370036
0.2,0.062180240748600145,2.637506733957004,-1.017407301624686,0.6396517150449783,1.3310603558555265,2.173556408037728,0.0,1.2900931912416063,-12.914911276621652,-11.624818085380046
0.20500000000000002,0.06542191988137354,2.6442322949722805,-1.006316639943404,0.6570258728828913,1.3590849954121103,2.2631082202172537,0.0,1.34850795001182,-12.973326035387966,-11.624818085376146
0.21,0.06875055283921887,2.65109677566875,-0.9947722003045015,0.6744320293191819,1.38662469076561,2.3550711724537874,0.0,1.4076498470099157,-13.032467932366849,-11.624818085356933
0.215,0.07216628096146457,2.658097698125097,-0.9827618782081163,0.6918626402142851,1.4136581397270613,2.449463767067165,0.0,1.4674631291426063,-13.09228121446366,-11.624818085321055
0.22,0.07566920663783201,2.665232477671417,-0.9702734925072842,0.7093096722881003,1.440163964484072,2.546298036891652,0.0,1.5278903671673216,-13.152708452434588,-11.624818085267266
0.225,0.07925939090246298,2.6724984228172164,-0.9572948196775076,0.7267646196985675,1.4661208370258623,2.6455787627617933,0.0,1.588872445430848,-13.213690530625321,-11.624818085194473
0.23,0.0829368511213504,2.6798927358524254,-0.9438136322102016,0.7442185248653265,1.4915076231649709,2.7473026051784086,0.0,1.6503485530011819,-13.275166638102961,-11.62481808510178
0.23500000000000001,0.08670155879498662,2.6874125142180167,-0.9298177415789012,0.7616620037684393,1.5163035465947716,2.8514571421816632,0.0,1.7122561763384265,-13.337074261326983,-11.624818084988556
0.24,0.09055343749909993,2.6950547527499307,-0.9152950462677724,0.779085275912656,1.5404883743825601,2.9580198051616886,0.0,1.7745310936735734,-13.399349178528082,-11.624818084854509
0.245,0.09449236098717655,2.7028163469068227,-0.9002335853937508,0.7964781990951572,1.5640426252151374,3.0669567041954178,0.0,1.8371073712943353,-13.461925455994095,-11.62481808469976
0.25,0.0985181514789933,2.7106940970984152,-0.8846215984955942,0.8138303090472117,1.5869478015761092,3.178221334579031,0.0,1.8999173619771454,-13.524735446502062,-11.624818084524916
0.255,0.10263057815953436,2.718684714236647,-0.8684475921039646,0.8311308639357079,1.6091866468279643,3.2917531566149916,0.0,1.9628917058555704,-13.587709790186729,-11.624818084331158
0.26,0.10682935591234487,2.7267848266359906,-0.8517004137445445,0.848368893606998,1.630743427881371,3.4074760415189163,0.0,2.0259593340803903,-13.650777418200716,-11.624818084120326
0.265,0.11111414431048439,2.734990988391786,-0.8343693340587371,0.8655332533309049,1.6516042437404475,3.5252965776671203,0.0,2.089047475707641,-13.713865559602628,-11.624818083894986
0.27,0.11548454688667303,2.7432996893656387,-0.8164441377505652,0.8826126816551917,1.671757359694703,3.6451022334707246,0.0,2.152081668350643,-13.776899752009163,-11.62481808365852
0.275,0.1199401107018552,2.7517073669041934,-0.7979152240799641,0.8995958618086755,1.6911935662620459,3.766759376126161,0.0,2.21498577325295,-13.839803856668125,-11.624818083415175
0.28,0.12448032622811284,2.760210419411083,-0.7787737176167242,0.9164714858933846,1.7099065611466056,3.8901111495735763,0.0,2.2776819955834853,-13.902500078753576,-11.62481808317009
0.28500000000000003,0.12910462755751365,2.7688052218806667,-0.7590115899396928,0.933228320882363,1.7278933514326922,4.014975220439292,0.0,2.340090910924655,-13.96490899385399,-11.624818082929336
0.29,0.13381239294295014,2.7774881434851864,-0.7386217929050156,0.9498552751907207,1.7451546719645699,4.141141407810853,0.0,2.40213149911993,-14.026949581819785,-11.624818082699855
0.295,0.13860294567019257,2.786255567283026,-0.717598404006378,0.9663414643156952,1.7616954143357784,4.268369221664014,0.0,2.4637211868689466,-14.08853926935836,-11.624818082489414
0.3,0.1434755552521388,2.79510391208349,-0.6959367841992383,0.9826762737513708,1.7775250591120206,4.396385345885495,0.0,2.5247759007033643,-14.149593983009822,-11.624818082306458
0.305,0.1484294389265218,2.8040296564615472,-0.6736337483486348,0.9988494170826728,1.792658101828988,4.524881115320476,0.0,2.5852101322409933,-14.21002821440091,-11.624818082159917
0.31,0.15346376342710433,2.8130293648629063,-0.6506877481741316,1.0148509868623021,1.8071144609483116,4.653510052233236,0.0,2.6449370178911167,-14.269755099950075,-11.624818082058958
0.315,0.15857764698568305,2.822099715674301,-0.6270990671935296,1.030671495588797,1.8209198533529396,4.781885545961846,0.0,2.703868435458528,-14.328686517471134,-11.624818082012606
0.32,0.16377016150817328,2.831237531054857,-0.6028700266974734,1.0463019038545467,1.8341061201835194,4.909578780101952,0.0,2.7619151203507712,-14.386733202380121,-11.62481808202935
